CO_GRUPO;CO_ORGACAD;NT_GER;DELTA_MEDIO_GRADUACAO;QE_I02;QE_I04;QE_I05;QE_I06;QE_I08;QE_I09;QE_I10;QE_I11;QE_I17;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26
4004;10028;58.7;0.0;D;D;F;B;E;C;A;A;A;G;A;B;E;E;A;C
4004;10028;49.8;2.0;A;D;C;A;C;B;A;A;A;A;A;C;C;B;C;A
4004;10028;;6.0;;;;;;;;;;;;;;;;
4004;10028;40.1;1.0;A;D;D;B;C;E;A;A;A;B;B;B;C;A;B;C
4004;10028;53.2;3.0;D;B;B;D;B;A;A;A;A;G;B;C;C;A;A;A
4004;10028;52.4;1.0;A;E;F;B;B;B;A;A;B;G;A;C;E;A;H;A
4004;10028;22.4;5.0;D;E;D;A;F;B;A;A;E;C;A;A;E;E;B;F
4004;10028;53.3;1.0;A;E;D;A;E;B;A;A;B;G;A;B;E;A;H;C
4004;10028;44.4;1.0;D;B;D;B;B;A;A;H;A;C;B;D;E;A;E;F
4004;10028;66.0;0.0;A;D;C;B;D;C;A;A;A;G;B;B;B;D;H;A
4004;10028;36.5;1.0;D;D;E;B;B;B;A;A;B;A;A;B;C;B;C;F
4004;10028;32.1;3.0;A;E;E;B;D;C;C;A;A;C;A;C;D;E;E;A
4004;10028;23.0;6.0;F;F;F;B;E;C;B;A;B;C;A;B;E;A;A;A
4004;10028;55.8;2.0;D;E;F;B;F;C;A;A;D;C;A;B;D;A;H;A
4004;10028;35.5;1.0;B;B;B;B;D;D;E;A;A;B;B;A;C;A;E;A
4004;10028;39.5;1.0;A;D;D;C;B;B;A;A;A;G;B;A;B;D;C;A
4004;10028;68.3;3.0;D;D;D;B;D;D;C;A;B;A;B;A;C;C;A;F
4004;10028;46.5;1.0;A;D;D;B;C;B;A;A;B;K;A;D;E;A;C;A
4004;10028;39.1;2.0;A;E;E;D;F;C;A;A;B;G;A;A;C;C;A;F
4004;10028;25.4;6.0;D;B;C;D;B;A;A;A;A;C;B;B;C;C;E;F
4004;10028;36.0;2.0;A;D;F;B;C;B;A;A;E;C;A;B;C;C;G;F
4004;10028;54.9;1.0;D;B;D;D;B;C;A;A;A;G;B;B;E;A;E;C
4004;10028;61.9;2.0;D;B;C;D;E;B;A;A;D;G;A;C;C;E;E;G
4004;10028;43.3;1.0;D;D;F;B;F;B;A;A;B;H;A;B;E;E;E;F
4004;10028;50.6;2.0;;;;;;;;;;;;;;;;
4004;10028;62.8;1.0;D;F;F;B;F;B;A;A;B;C;A;C;D;E;E;A
4004;10028;42.7;1.0;A;F;D;B;E;C;C;A;B;G;A;B;C;C;E;C
4004;10028;51.5;2.0;;;;;;;;;;;;;;;;
4004;10028;79.9;1.0;D;F;F;B;F;B;A;A;B;C;A;B;C;A;E;F
4004;10028;;1.0;A;E;E;B;F;B;A;A;B;A;A;A;D;A;A;A
4004;10028;73.9;1.0;A;F;F;B;E;C;C;A;B;G;A;C;B;C;E;F
4004;10028;51.8;5.0;A;D;C;B;D;B;A;A;B;C;A;C;D;A;E;A
4004;10028;66.9;0.0;F;E;E;B;E;C;A;A;B;C;A;B;E;B;E;A
4004;10028;74.6;1.0;A;F;E;B;E;C;D;A;A;A;A;E;A;C;A;A
4004;10028;60.3;0.0;D;E;E;B;F;C;A;A;B;C;A;A;B;A;E;F
4004;10028;52.1;1.0;A;F;D;B;F;B;A;A;B;G;A;B;B;E;H;F
4004;10028;17.8;1.0;A;D;E;A;F;C;E;A;A;C;A;D;C;A;E;E
4004;10028;56.4;2.0;A;F;F;B;E;B;A;A;D;G;A;B;E;A;E;F
4004;10028;39.7;2.0;A;F;E;B;F;B;A;A;B;B;A;B;E;A;H;F
4004;10028;48.6;1.0;A;F;F;B;G;C;A;A;B;C;A;B;C;E;A;A
4004;10028;65.8;1.0;D;E;D;B;F;C;C;A;B;H;A;B;D;E;A;A
4004;10028;54.8;0.0;A;E;E;B;F;C;C;A;A;H;A;B;D;C;E;F
4004;10028;58.6;2.0;D;E;D;D;D;D;E;A;A;H;A;E;D;E;E;F
4004;10028;61.5;1.0;;;;;;;;;;;;;;;;
4004;10028;60.6;1.0;A;F;F;B;F;C;C;A;B;K;A;B;D;E;H;F
4004;10028;56.1;1.0;A;F;E;B;F;B;A;A;B;H;A;E;D;E;B;F
4004;10028;56.7;1.0;F;E;E;B;F;B;A;A;B;G;A;B;C;A;A;F
4004;10028;46.6;1.0;;;;;;;;;;;;;;;;
4004;10028;55.4;1.0;A;D;E;B;B;C;A;A;A;C;A;B;E;E;A;A
4004;10028;69.7;1.0;D;D;D;B;E;D;A;A;B;G;A;D;C;C;E;C
4004;10028;59.3;1.0;A;F;F;B;G;C;C;A;B;A;A;C;E;A;E;F
4004;10028;48.6;0.0;A;F;F;B;F;C;C;A;B;G;A;D;E;A;C;A
4004;10028;55.3;1.0;D;D;D;B;D;E;C;A;A;C;B;C;E;A;C;A
4004;10028;;6.0;;;;;;;;;;;;;;;;
4004;10028;33.8;1.0;A;D;D;B;B;C;A;A;A;A;A;C;E;E;E;F
4004;10028;;4.0;D;E;D;B;F;C;A;A;B;G;A;B;D;E;A;A
4004;10028;66.3;0.0;D;D;E;B;F;D;C;A;B;C;A;A;C;E;B;A
4004;10028;;17.0;;;;;;;;;;;;;;;;
4004;10028;;9.0;;;;;;;;;;;;;;;;
4004;10028;37.8;11.0;B;A;C;B;E;F;E;A;A;A;A;C;D;D;H;A
4004;10028;50.0;1.0;C;D;E;B;E;B;A;A;B;B;A;C;E;C;A;C
4004;10028;59.8;1.0;A;E;F;A;F;B;A;A;B;C;A;E;E;A;C;F
4004;10028;;11.0;;;;;;;;;;;;;;;;
4004;10028;56.4;10.0;F;E;F;A;B;C;A;A;B;A;A;A;E;E;H;D
4004;10028;;6.0;;;;;;;;;;;;;;;;
4004;10028;51.7;2.0;A;F;E;B;F;D;D;A;B;G;A;B;C;A;A;F
4004;10028;;7.0;;;;;;;;;;;;;;;;
4004;10028;38.8;16.0;A;E;D;B;D;B;A;A;B;C;A;C;E;E;A;F
4004;10028;52.9;2.0;A;E;E;B;E;C;B;A;B;K;A;A;E;A;E;A
4004;10028;45.0;9.0;;;;;;;;;;;;;;;;
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;34.8;0.0;A;D;C;B;C;C;D;A;A;G;A;E;B;A;E;F
4004;10028;;4.0;;;;;;;;;;;;;;;;
4004;10028;;10.0;;;;;;;;;;;;;;;;
4004;10028;;4.0;;;;;;;;;;;;;;;;
4004;10028;50.8;8.0;F;B;B;C;F;F;D;A;A;K;A;D;D;A;E;F
4004;10028;56.3;1.0;D;E;E;B;E;C;A;A;B;G;A;D;C;E;A;F
4004;10028;9.3;2.0;;;;;;;;;;;;;;;;
4004;10028;54.3;3.0;A;E;D;B;B;B;A;A;E;C;A;D;B;E;H;I
4004;10028;56.1;2.0;F;E;F;B;F;B;A;A;B;C;A;B;A;E;H;A
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;40.4;1.0;D;E;E;B;D;C;B;A;B;C;A;D;E;A;E;C
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;54.6;1.0;A;E;E;B;F;B;A;A;B;G;A;B;B;A;E;F
4004;10028;40.9;5.0;D;A;B;B;E;B;A;A;A;C;A;C;C;A;H;A
4004;10028;49.2;1.0;A;E;D;B;F;B;A;A;B;B;A;B;C;E;H;A
4004;10028;54.7;1.0;B;D;E;B;E;C;A;A;B;G;A;B;B;A;E;F
4004;10028;;2.0;;;;;;;;;;;;;;;;
4004;10028;66.4;1.0;D;A;F;B;E;C;C;A;E;A;A;A;B;E;A;F
4004;10028;13.2;3.0;F;D;E;A;B;C;A;H;A;C;A;B;C;E;A;F
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;38.6;1.0;F;F;C;B;F;D;D;A;E;E;A;B;D;E;A;A
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;43.9;1.0;A;E;E;B;E;B;A;A;B;A;A;C;D;D;E;C
4004;10028;42.3;4.0;A;E;F;B;G;D;D;A;D;B;A;C;C;A;E;F
4004;10028;57.0;1.0;A;E;E;B;F;B;A;A;B;G;A;B;C;A;C;F
4004;10028;;4.0;;;;;;;;;;;;;;;;
4004;10028;49.4;4.0;D;D;F;D;C;C;A;A;B;C;A;B;E;A;A;I
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;;1.0;;;;;;;;;;;;;;;;
4004;10028;60.9;4.0;A;D;D;B;E;C;D;A;B;C;B;A;C;C;H;I
4004;10028;34.4;1.0;A;E;E;B;F;B;A;A;B;G;A;B;B;A;E;A
